Word,Score,Source,SourceReal
K R,1,1,Scholes
G R,1,1,Scholes
K L,1,1,Scholes
S T,1,1,Scholes
S M,0.96969697,1,Scholes
P R,0.96969697,1,Scholes
T R,0.939393939,1,Scholes
D R,0.939393939,1,Scholes
B L,0.939393939,1,Scholes
F L,0.939393939,1,Scholes
S L,0.939393939,1,Scholes
B R,0.878787879,1,Scholes
F R,0.878787879,1,Scholes
S P,0.878787879,1,Scholes
P L,0.848484848,1,Scholes
S N,0.848484848,1,Scholes
M R,0.818181818,1,Scholes
SH R,0.818181818,1,Scholes
G L,0.818181818,1,Scholes
SH L,0.666666667,1,Scholes
S K,0.606060606,1,Scholes
V R,0.575757576,1,Scholes
S R,0.454545455,1,Scholes
V L,0.424242424,1,Scholes
M L,0.393939394,1,Scholes
F P,0.393939394,1,Scholes
SH T,0.393939394,1,Scholes
ZH R,0.333333333,1,Scholes
F SH,0.333333333,1,Scholes
SH N,0.303030303,1,Scholes
F T,0.303030303,1,Scholes
N R,0.242424242,1,Scholes
Z R,0.242424242,1,Scholes
SH M,0.212121212,1,Scholes
S F,0.212121212,1,Scholes
F S,0.181818182,1,Scholes
Z L,0.181818182,1,Scholes
Z T,0.181818182,1,Scholes
V Z,0.181818182,1,Scholes
ZH L,0.151515152,1,Scholes
SH F,0.151515152,1,Scholes
Z N,0.121212121,1,Scholes
F N,0.090909091,1,Scholes
V T,0.090909091,1,Scholes
Z V,0.090909091,1,Scholes
F K,0.090909091,1,Scholes
F M,0.060606061,1,Scholes
Z M,0.060606061,1,Scholes
ZH M,0.060606061,1,Scholes
SH P,0.060606061,1,Scholes
V M,0.03030303,1,Scholes
V N,0.03030303,1,Scholes
Z P,0.03030303,1,Scholes
ZH P,0.03030303,1,Scholes
ZH T,0.03030303,1,Scholes
SH K,0.03030303,1,Scholes
ZH K,0.03030303,1,Scholes
ZH N,0,1,Scholes
V P,0,1,Scholes
ZH V,0,1,Scholes
V K,0,1,Scholes
Z K,0,1,Scholes
P W AH D Z,0.591,2,AH_2003
P L AO N TH,0.854,2,AH_2003
S P R AA R F,0.746,2,AH_2003
S M IY N TH,0.718,2,AH_2003
TH EY P T,0.841,2,AH_2003
S M IY L TH,0.881,2,AH_2003
TH W IY K S,0.957,2,AH_2003
P L OW M F,0.876,2,AH_2003
S M AY R G,0.951,2,AH_2003
TH R OY K S,1.047,2,AH_2003
S M AY R F,0.912,2,AH_2003
K R IH L G,0.969,2,AH_2003
T R IH L B,1.04,2,AH_2003
F R IH L G,1.008,2,AH_2003
S K L UW N D,1.099,2,AH_2003
P W IH P,1.103,2,AH_2003
S F UW N D,1.154,2,AH_2003
SH W OW JH,1.021,2,AH_2003
R AY N T,1.066,2,AH_2003
S M EY R G,1.086,2,AH_2003
S N OY K S,1.123,2,AH_2003
T W UW,1.238,2,AH_2003
S M AH M,1.212,2,AH_2003
G W EH N JH,1.322,2,AH_2003
SH R UH K S,1.346,2,AH_2003
N AH NG,1.239,2,AH_2003
S K W AA L K,1.27,2,AH_2003
Z EY P S,1.35,2,AH_2003
CH UW L,1.342,2,AH_2003
SH AY N T,1.342,2,AH_2003
B L IH G,1.381,2,AH_2003
S K OY L,1.567,2,AH_2003
B R EH JH,1.55,2,AH_2003
K W IY D,1.574,2,AH_2003
D R AY S,1.512,2,AH_2003
S K IH K,1.571,2,AH_2003
F L IH JH,1.51,2,AH_2003
S K R AY D,1.653,2,AH_2003
F L EH T,1.595,2,AH_2003
Z AY,1.68,2,AH_2003
D R IH T,1.611,2,AH_2003
F L IY P,1.685,2,AH_2003
B L EY F,1.666,2,AH_2003
G EH Z,1.648,2,AH_2003
N OW L D,1.589,2,AH_2003
K AY V,1.607,2,AH_2003
G UW D,1.739,2,AH_2003
P L IH M,1.757,2,AH_2003
B AY Z,1.849,2,AH_2003
CH IH N D,1.717,2,AH_2003
G R EH L,1.833,2,AH_2003
T EH SH,1.851,2,AH_2003
G L IH P,1.794,2,AH_2003
L AH M,1.91,2,AH_2003
P AH M,1.944,2,AH_2003
S P L IH NG,1.85,2,AH_2003
D AY Z,1.944,2,AH_2003
T AH NG K,1.928,2,AH_2003
S K W IH L,1.946,2,AH_2003
T IY P,1.854,2,AH_2003
SH IH L K,1.925,2,AH_2003
P R EY K,1.998,2,AH_2003
N EY S,1.965,2,AH_2003
G EY R,2.054,2,AH_2003
SH ER N,2.023,2,AH_2003
T AA R K,2.057,2,AH_2003
D EY P,2.041,2,AH_2003
S K EH L,2.065,2,AH_2003
G R AY N T,2.037,2,AH_2003
S P AE K,2.078,2,AH_2003
T R IH S K,2.08,2,AH_2003
CH EY K,2.034,2,AH_2003
G L IY D,2.06,2,AH_2003
R AE S K,2.059,2,AH_2003
S N EH L,2.171,2,AH_2003
G L IH T,2.075,2,AH_2003
S T IH N,2.144,2,AH_2003
P L EY K,2.165,2,AH_2003
M ER N,2.225,2,AH_2003
M IH P,2.227,2,AH_2003
R AY F,2.248,2,AH_2003
S T IH P,2.226,2,AH_2003
P AE NG K,2.302,2,AH_2003
P IH N T,2.265,2,AH_2003
S T AY R,2.248,2,AH_2003
W IH S,2.357,2,AH_2003
S L EY M,2.379,2,AH_2003
D W OW JH,0.873,2,AH_2003
B AE L,0.151560639,3,JLHW_Canaan
B AE P,0.699877522,3,JLHW_Canaan
B AH L,-5.87E-04,3,JLHW_Canaan
B AO CH,-0.244954354,3,JLHW_Canaan
B AO TH,-0.334468237,3,JLHW_Canaan
B AW JH,-0.194125019,3,JLHW_Canaan
B AY N,0.969363282,3,JLHW_Canaan
B AY S,0.45705902,3,JLHW_Canaan
B ER S,0.724519374,3,JLHW_Canaan
B IH K F,-1.262770113,3,JLHW_Canaan
B IH M F,-0.932244272,3,JLHW_Canaan
B IH S,0.630422901,3,JLHW_Canaan
B IY L,0.528069008,3,JLHW_Canaan
B IY S,0.377210954,3,JLHW_Canaan
B R EH L,0.845844558,3,JLHW_Canaan
B W EH L,-0.328565913,3,JLHW_Canaan
CH AH CH,0.05067545,3,JLHW_Canaan
CH AH JH,0.267935006,3,JLHW_Canaan
CH AH N,0.34582426,3,JLHW_Canaan
CH AH SH,-0.517778579,3,JLHW_Canaan
CH AH Z,-0.206524382,3,JLHW_Canaan
CH AO B,-0.566228856,3,JLHW_Canaan
CH AO CH,-0.977677896,3,JLHW_Canaan
CH AO D,-0.286642142,3,JLHW_Canaan
CH AO G,-0.152256857,3,JLHW_Canaan
CH AO NG,-0.792835253,3,JLHW_Canaan
CH AO SH,-0.49054507,3,JLHW_Canaan
CH AO TH,-0.341604797,3,JLHW_Canaan
CH AO Z,-0.316125707,3,JLHW_Canaan
CH AY B,0.572763692,3,JLHW_Canaan
CH AY DH,-0.657702195,3,JLHW_Canaan
CH AY N,0.990362958,3,JLHW_Canaan
CH AY Z,0.039011941,3,JLHW_Canaan
CH EH N,0.260553726,3,JLHW_Canaan
CH ER G,-0.367132581,3,JLHW_Canaan
CH ER JH,-0.798100803,3,JLHW_Canaan
CH ER TH,-0.410141192,3,JLHW_Canaan
CH ER Z,-0.848613585,3,JLHW_Canaan
CH EY DH,-0.733620429,3,JLHW_Canaan
CH EY G,-0.621879016,3,JLHW_Canaan
CH EY JH,-0.738692653,3,JLHW_Canaan
CH EY TH,-0.175477248,3,JLHW_Canaan
CH EY ZH,-1.115460572,3,JLHW_Canaan
CH IH S,0.32685211,3,JLHW_Canaan
CH IY DH,-0.969210711,3,JLHW_Canaan
CH IY N,-0.006309464,3,JLHW_Canaan
CH IY SH,-0.043534339,3,JLHW_Canaan
CH UW DH,-0.628667436,3,JLHW_Canaan
CH UW SH,-0.4314941,3,JLHW_Canaan
CH UW TH,-0.217955155,3,JLHW_Canaan
CH UW V,-0.224085636,3,JLHW_Canaan
CH UW ZH,-0.821056218,3,JLHW_Canaan
D AE L,0.294674777,3,JLHW_Canaan
D AE S,0.359907143,3,JLHW_Canaan
D AH S,0.333676814,3,JLHW_Canaan
D AO TH,-0.051012978,3,JLHW_Canaan
D AY P,0.818346439,3,JLHW_Canaan
D AY T,0.262148675,3,JLHW_Canaan
D EH M,0.93120377,3,JLHW_Canaan
D EH P,0.75138147,3,JLHW_Canaan
D EH S,0.509696994,3,JLHW_Canaan
D ER S,0.042059014,3,JLHW_Canaan
D IH DH,-1.028065253,3,JLHW_Canaan
D IH JH,0.108172105,3,JLHW_Canaan
D IH T,0.854037295,3,JLHW_Canaan
D IH TH,-0.061055132,3,JLHW_Canaan
D IH V,0.317206366,3,JLHW_Canaan
D IH Z,0.303011262,3,JLHW_Canaan
D IH ZH,-0.999048035,3,JLHW_Canaan
D IY K,0.673112511,3,JLHW_Canaan
D IY S,-0.068910965,3,JLHW_Canaan
D IY T,0.924943135,3,JLHW_Canaan
DH AH CH,-0.702029404,3,JLHW_Canaan
DH AH D,-0.275776656,3,JLHW_Canaan
DH AH G,-0.464521848,3,JLHW_Canaan
DH AH SH,-0.698234477,3,JLHW_Canaan
DH AH V,-1.440010379,3,JLHW_Canaan
DH AH ZH,-1.281075021,3,JLHW_Canaan
DH AY B,-0.84162689,3,JLHW_Canaan
DH AY DH,-1.243214245,3,JLHW_Canaan
DH AY M,-0.64403746,3,JLHW_Canaan
DH AY P,-0.777005075,3,JLHW_Canaan
