+back :: -approximant :: +sonorant
-tense :: +tense :: +continuant
+tense :: -consonantal :: -voice
-approximant :: +voice :: -low
+back :: +sonorant :: -approximant
+front :: -labial :: +dorsal
+continuant :: +high :: -sonorant
+approximant :: +dorsal :: -anterior
+back :: +continuant :: -front
-approximant :: +high :: +approximant
-front :: +back :: -front
-labial :: -continuant :: +high
+continuant :: +coronal :: -front
+lateral :: -low :: -labial
-tense :: +lateral :: +dorsal
+dorsal :: +anterior :: +dorsal
+word_boundary :: +high :: +spread
+lateral :: +nasal :: -low
-low :: +sonorant :: -anterior
+low :: +sonorant :: -approximant
+anterior :: -sonorant :: +continuant
+continuant :: +anterior :: +consonantal
+labial :: -voice :: +nasal
+labial :: +coronal :: +dorsal
+voice :: +dorsal :: +front
-continuant :: -approximant :: -strident
+lateral :: -sonorant :: -front
+sonorant :: +tense :: -front
-voice :: +lateral :: -continuant
+spread :: -anterior :: -approximant
+voice :: -strident :: -high
+continuant :: -continuant :: -anterior
-low :: +voice :: -high
-strident :: -continuant :: -anterior
+low :: -labial :: +tense
+consonantal :: +consonantal :: +nasal
-anterior :: +consonantal :: +sonorant
+approximant :: -approximant :: +voice
+sonorant :: +strident :: -approximant
+front :: -consonantal :: +continuant
+approximant :: -tense :: +high
+front :: +low :: +dorsal
-continuant :: +approximant :: -high
-tense :: +strident :: +strident
-continuant :: -continuant :: -strident
+spread :: -front :: +approximant
-sonorant :: +labial :: -front
+voice :: +continuant :: -front
+low :: -labial :: +back
-front :: +spread :: +back
+nasal :: -continuant :: +coronal
+low :: -sonorant :: -anterior
+lateral :: +tense :: -high
-approximant :: +coronal :: +coronal
-labial :: -strident :: +labial
-low :: -voice :: +labial
-voice :: -front :: +labial
-sonorant :: +nasal :: -anterior
+front :: +strident :: -tense
-strident :: -high :: -consonantal
+coronal :: +spread :: +consonantal
+low :: +sonorant :: +labial
-sonorant :: +lateral :: +back
+dorsal :: -strident :: -approximant
+lateral :: +tense :: +back
-continuant :: +front :: +spread
+voice :: +anterior :: +voice
+continuant :: -tense :: -tense
-labial :: +coronal :: -low
+spread :: +approximant :: +nasal
+tense :: -anterior :: +labial
+labial :: +tense :: +labial
-anterior :: +spread :: +coronal
-voice :: -voice :: +low
+lateral :: +coronal :: -approximant
+lateral :: +lateral :: -front
+word_boundary :: +back :: -low
+anterior :: -tense :: -labial
-consonantal :: +tense :: +lateral
+continuant :: -labial :: +labial
+word_boundary :: -low :: +word_boundary
+spread :: -back :: -labial
+dorsal :: +approximant :: +low
-labial :: +dorsal :: -high
-front :: +low :: -consonantal
+dorsal :: +front :: -voice
+word_boundary :: -strident :: -sonorant
-approximant :: -approximant :: -tense
+front :: +sonorant :: +high
-anterior :: +strident :: +continuant
-approximant :: +low :: -strident
+sonorant :: +approximant :: +word_boundary
-tense :: +high :: +sonorant
+spread :: -approximant :: +nasal
