TellingSubsequence,WordContainingIt,ProperJudgementForWord
NONE,te,okay
NONE,te,okay
NONE,te,okay
NONE,te,okay
NONE,te,okay
NONE,te,okay
NONE,te,okay
NONE,te,okay
NONE,pE,okay
NONE,pE,okay
NONE,pE,okay
NONE,pE,okay
NONE,pE,okay
NONE,pE,okay
NONE,pE,okay
NONE,pE,okay
NONE,ti,okay
NONE,ti,okay
NONE,ti,okay
NONE,ti,okay
NONE,ti,okay
NONE,ti,okay
NONE,ti,okay
NONE,ti,okay
NONE,kI pa tI,okay
NONE,kI pa tI,okay
NONE,kI pa tI,okay
NONE,kI pa tI,okay
NONE,kI pa tI,okay
NONE,kI pa tI,okay
NONE,kI pa tI,okay
NONE,kI pa tI,okay
NONE,tE,okay
NONE,tE,okay
NONE,tE,okay
NONE,tE,okay
NONE,tE,okay
NONE,tE,okay
NONE,tE,okay
NONE,tE,okay
NONE,kI ka pe ka tE,okay
NONE,kI ka pe ka tE,okay
NONE,kI ka pe ka tE,okay
eaE,kI ka pe ka tE,bad
NONE,kI ka pe ka tE,okay
Iae,kI ka pe ka tE,bad
NONE,kI ka pe ka tE,okay
NONE,kI ka pe ka tE,okay
NONE,ti ka,okay
NONE,ti ka,okay
NONE,ti ka,okay
NONE,ti ka,okay
NONE,ti ka,okay
NONE,ti ka,okay
NONE,ti ka,okay
NONE,ti ka,okay
NONE,pa ke,okay
NONE,pa ke,okay
NONE,pa ke,okay
NONE,pa ke,okay
NONE,pa ke,okay
NONE,pa ke,okay
NONE,pa ke,okay
NONE,pa ke,okay
NONE,te ka kI,okay
NONE,te ka kI,okay
eaI,te ka kI,bad
NONE,te ka kI,okay
NONE,te ka kI,okay
NONE,te ka kI,okay
NONE,te ka kI,okay
NONE,te ka kI,okay
NONE,kI tE,okay
NONE,kI tE,okay
NONE,kI tE,okay
NONE,kI tE,okay
NONE,kI tE,okay
NONE,kI tE,okay
NONE,kI tE,okay
NONE,kI tE,okay
NONE,ta,okay
NONE,ta,okay
NONE,ta,okay
NONE,ta,okay
NONE,ta,okay
NONE,ta,okay
NONE,ta,okay
NONE,ta,okay
NONE,ka,okay
NONE,ka,okay
NONE,ka,okay
NONE,ka,okay
NONE,ka,okay
NONE,ka,okay
NONE,ka,okay
NONE,ka,okay
NONE,pe ti ki pa,okay
NONE,pe ti ki pa,okay
NONE,pe ti ki pa,okay
NONE,pe ti ki pa,okay
NONE,pe ti ki pa,okay
NONE,pe ti ki pa,okay
NONE,pe ti ki pa,okay
NONE,pe ti ki pa,okay
NONE,ki te,okay
NONE,ki te,okay
NONE,ki te,okay
NONE,ki te,okay
NONE,ki te,okay
NONE,ki te,okay
NONE,ki te,okay
NONE,ki te,okay
NONE,te ti,okay
NONE,te ti,okay
NONE,te ti,okay
NONE,te ti,okay
NONE,te ti,okay
NONE,te ti,okay
NONE,te ti,okay
NONE,te ti,okay
NONE,kI kE,okay
NONE,kI kE,okay
NONE,kI kE,okay
NONE,kI kE,okay
NONE,kI kE,okay
NONE,kI kE,okay
NONE,kI kE,okay
NONE,kI kE,okay
NONE,ke ke ka tI,okay
NONE,ke ke ka tI,okay
eaI,ke ke ka tI,bad
NONE,ke ke ka tI,okay
NONE,ke ke ka tI,okay
NONE,ke ke ka tI,okay
NONE,ke ke ka tI,okay
NONE,ke ke ka tI,okay
NONE,pa te,okay
NONE,pa te,okay
NONE,pa te,okay
NONE,pa te,okay
NONE,pa te,okay
NONE,pa te,okay
NONE,pa te,okay
NONE,pa te,okay
NONE,pI ka,okay
NONE,pI ka,okay
NONE,pI ka,okay
NONE,pI ka,okay
NONE,pI ka,okay
NONE,pI ka,okay
NONE,pI ka,okay
NONE,pI ka,okay
NONE,ki,okay
NONE,ki,okay
NONE,ki,okay
NONE,ki,okay
NONE,ki,okay
NONE,ki,okay
NONE,ki,okay
NONE,ki,okay
NONE,pe pi ka pa,okay
NONE,pe pi ka pa,okay
NONE,pe pi ka pa,okay
NONE,pe pi ka pa,okay
NONE,pe pi ka pa,okay
NONE,pe pi ka pa,okay
NONE,pe pi ka pa,okay
NONE,pe pi ka pa,okay
NONE,te te pe,okay
NONE,te te pe,okay
NONE,te te pe,okay
NONE,te te pe,okay
NONE,te te pe,okay
NONE,te te pe,okay
NONE,te te pe,okay
NONE,te te pe,okay
NONE,kE pa kE,okay
NONE,kE pa kE,okay
NONE,kE pa kE,okay
NONE,kE pa kE,okay
NONE,kE pa kE,okay
NONE,kE pa kE,okay
NONE,kE pa kE,okay
NONE,kE pa kE,okay
NONE,te ka tI,okay
NONE,te ka tI,okay
eaI,te ka tI,bad
NONE,te ka tI,okay
NONE,te ka tI,okay
NONE,te ka tI,okay
NONE,te ka tI,okay
NONE,te ka tI,okay
NONE,ka pa,okay
NONE,ka pa,okay
NONE,ka pa,okay
NONE,ka pa,okay
NONE,ka pa,okay
NONE,ka pa,okay
NONE,ka pa,okay
NONE,ka pa,okay
NONE,pe,okay
NONE,pe,okay
NONE,pe,okay
NONE,pe,okay
NONE,pe,okay
NONE,pe,okay
NONE,pe,okay
NONE,pe,okay
NONE,pI tI pI pE,okay
NONE,pI tI pI pE,okay
NONE,pI tI pI pE,okay
NONE,pI tI pI pE,okay
NONE,pI tI pI pE,okay
NONE,pI tI pI pE,okay
NONE,pI tI pI pE,okay
NONE,pI tI pI pE,okay
NONE,kE pE,okay
NONE,kE pE,okay
NONE,kE pE,okay
NONE,kE pE,okay
NONE,kE pE,okay
NONE,kE pE,okay
NONE,kE pE,okay
NONE,kE pE,okay
NONE,kI,okay
NONE,kI,okay
NONE,kI,okay
NONE,kI,okay
NONE,kI,okay
NONE,kI,okay
NONE,kI,okay
NONE,kI,okay
NONE,pi,okay
NONE,pi,okay
NONE,pi,okay
NONE,pi,okay
NONE,pi,okay
NONE,pi,okay
NONE,pi,okay
NONE,pi,okay
NONE,tE kI kE,okay
NONE,tE kI kE,okay
NONE,tE kI kE,okay
NONE,tE kI kE,okay
NONE,tE kI kE,okay
NONE,tE kI kE,okay
NONE,tE kI kE,okay
NONE,tE kI kE,okay
NONE,pa tE kE,okay
NONE,pa tE kE,okay
NONE,pa tE kE,okay
NONE,pa tE kE,okay
NONE,pa tE kE,okay
NONE,pa tE kE,okay
NONE,pa tE kE,okay
NONE,pa tE kE,okay
NONE,pa pi,okay
NONE,pa pi,okay
NONE,pa pi,okay
NONE,pa pi,okay
NONE,pa pi,okay
NONE,pa pi,okay
NONE,pa pi,okay
NONE,pa pi,okay
NONE,kE pE pI,okay
NONE,kE pE pI,okay
NONE,kE pE pI,okay
NONE,kE pE pI,okay
NONE,kE pE pI,okay
NONE,kE pE pI,okay
NONE,kE pE pI,okay
NONE,kE pE pI,okay
NONE,pi te,okay
NONE,pi te,okay
NONE,pi te,okay
NONE,pi te,okay
NONE,pi te,okay
NONE,pi te,okay
NONE,pi te,okay
NONE,pi te,okay
NONE,ti pi,okay
NONE,ti pi,okay
NONE,ti pi,okay
NONE,ti pi,okay
NONE,ti pi,okay
NONE,ti pi,okay
NONE,ti pi,okay
NONE,ti pi,okay
NONE,pI pI ta,okay
NONE,pI pI ta,okay
NONE,pI pI ta,okay
NONE,pI pI ta,okay
NONE,pI pI ta,okay
NONE,pI pI ta,okay
NONE,pI pI ta,okay
NONE,pI pI ta,okay
NONE,tI,okay
NONE,tI,okay
NONE,tI,okay
NONE,tI,okay
NONE,tI,okay
NONE,tI,okay
NONE,tI,okay
NONE,tI,okay
NONE,ke pi ke ti ki,okay
NONE,ke pi ke ti ki,okay
NONE,ke pi ke ti ki,okay
NONE,ke pi ke ti ki,okay
NONE,ke pi ke ti ki,okay
NONE,ke pi ke ti ki,okay
NONE,ke pi ke ti ki,okay
NONE,ke pi ke ti ki,okay
NONE,pa,okay
NONE,pa,okay
NONE,pa,okay
NONE,pa,okay
NONE,pa,okay
NONE,pa,okay
NONE,pa,okay
NONE,pa,okay
NONE,pI kE,okay
NONE,pI kE,okay
NONE,pI kE,okay
NONE,pI kE,okay
NONE,pI kE,okay
NONE,pI kE,okay
NONE,pI kE,okay
NONE,pI kE,okay
NONE,tE pE pa,okay
NONE,tE pE pa,okay
NONE,tE pE pa,okay
NONE,tE pE pa,okay
NONE,tE pE pa,okay
NONE,tE pE pa,okay
NONE,tE pE pa,okay
NONE,tE pE pa,okay
NONE,ki ki pi ti,okay
NONE,ki ki pi ti,okay
NONE,ki ki pi ti,okay
NONE,ki ki pi ti,okay
NONE,ki ki pi ti,okay
NONE,ki ki pi ti,okay
NONE,ki ki pi ti,okay
NONE,ki ki pi ti,okay
NONE,pa ta pa kE,okay
NONE,pa ta pa kE,okay
NONE,pa ta pa kE,okay
NONE,pa ta pa kE,okay
NONE,pa ta pa kE,okay
NONE,pa ta pa kE,okay
NONE,pa ta pa kE,okay
NONE,pa ta pa kE,okay
NONE,kI pa kE,okay
NONE,kI pa kE,okay
NONE,kI pa kE,okay
NONE,kI pa kE,okay
NONE,kI pa kE,okay
NONE,kI pa kE,okay
NONE,kI pa kE,okay
NONE,kI pa kE,okay
NONE,te ka pE,okay
NONE,te ka pE,okay
NONE,te ka pE,okay
eaE,te ka pE,bad
NONE,te ka pE,okay
NONE,te ka pE,okay
NONE,te ka pE,okay
NONE,te ka pE,okay
NONE,ki ki,okay
NONE,ki ki,okay
NONE,ki ki,okay
NONE,ki ki,okay
NONE,ki ki,okay
NONE,ki ki,okay
NONE,ki ki,okay
NONE,ki ki,okay
NONE,tI pI kI pa tE,okay
NONE,tI pI kI pa tE,okay
NONE,tI pI kI pa tE,okay
NONE,tI pI kI pa tE,okay
NONE,tI pI kI pa tE,okay
NONE,tI pI kI pa tE,okay
NONE,tI pI kI pa tE,okay
NONE,tI pI kI pa tE,okay
NONE,ke,okay
NONE,ke,okay
NONE,ke,okay
NONE,ke,okay
NONE,ke,okay
NONE,ke,okay
NONE,ke,okay
NONE,ke,okay
NONE,ke ke ki pe,okay
NONE,ke ke ki pe,okay
NONE,ke ke ki pe,okay
NONE,ke ke ki pe,okay
NONE,ke ke ki pe,okay
NONE,ke ke ki pe,okay
NONE,ke ke ki pe,okay
NONE,ke ke ki pe,okay
NONE,pI pI pI ta,okay
NONE,pI pI pI ta,okay
NONE,pI pI pI ta,okay
NONE,pI pI pI ta,okay
NONE,pI pI pI ta,okay
NONE,pI pI pI ta,okay
NONE,pI pI pI ta,okay
NONE,pI pI pI ta,okay
NONE,ki ka,okay
NONE,ki ka,okay
NONE,ki ka,okay
NONE,ki ka,okay
NONE,ki ka,okay
NONE,ki ka,okay
NONE,ki ka,okay
NONE,ki ka,okay
NONE,ki ti,okay
NONE,ki ti,okay
NONE,ki ti,okay
NONE,ki ti,okay
NONE,ki ti,okay
NONE,ki ti,okay
NONE,ki ti,okay
NONE,ki ti,okay
NONE,ka pi ke,okay
NONE,ka pi ke,okay
NONE,ka pi ke,okay
NONE,ka pi ke,okay
NONE,ka pi ke,okay
NONE,ka pi ke,okay
NONE,ka pi ke,okay
NONE,ka pi ke,okay
NONE,pe ta ti,okay
NONE,pe ta ti,okay
NONE,pe ta ti,okay
NONE,pe ta ti,okay
NONE,pe ta ti,okay
NONE,pe ta ti,okay
NONE,pe ta ti,okay
NONE,pe ta ti,okay
NONE,tE pI,okay
NONE,tE pI,okay
NONE,tE pI,okay
NONE,tE pI,okay
NONE,tE pI,okay
NONE,tE pI,okay
NONE,tE pI,okay
NONE,tE pI,okay
NONE,kE kI tI,okay
NONE,kE kI tI,okay
NONE,kE kI tI,okay
NONE,kE kI tI,okay
NONE,kE kI tI,okay
NONE,kE kI tI,okay
NONE,kE kI tI,okay
NONE,kE kI tI,okay
NONE,kI pE,okay
NONE,kI pE,okay
NONE,kI pE,okay
NONE,kI pE,okay
NONE,kI pE,okay
NONE,kI pE,okay
NONE,kI pE,okay
NONE,kI pE,okay
NONE,ke ke,okay
NONE,ke ke,okay
NONE,ke ke,okay
NONE,ke ke,okay
NONE,ke ke,okay
NONE,ke ke,okay
NONE,ke ke,okay
NONE,ke ke,okay
NONE,pE kI,okay
NONE,pE kI,okay
NONE,pE kI,okay
NONE,pE kI,okay
NONE,pE kI,okay
NONE,pE kI,okay
NONE,pE kI,okay
NONE,pE kI,okay
NONE,ka pE kI pa tI,okay
NONE,ka pE kI pa tI,okay
NONE,ka pE kI pa tI,okay
NONE,ka pE kI pa tI,okay
NONE,ka pE kI pa tI,okay
NONE,ka pE kI pa tI,okay
NONE,ka pE kI pa tI,okay
NONE,ka pE kI pa tI,okay
NONE,pE pE kI kE ta,okay
NONE,pE pE kI kE ta,okay
NONE,pE pE kI kE ta,okay
NONE,pE pE kI kE ta,okay
NONE,pE pE kI kE ta,okay
NONE,pE pE kI kE ta,okay
NONE,pE pE kI kE ta,okay
NONE,pE pE kI kE ta,okay
NONE,pI pa pI,okay
NONE,pI pa pI,okay
NONE,pI pa pI,okay
NONE,pI pa pI,okay
NONE,pI pa pI,okay
NONE,pI pa pI,okay
NONE,pI pa pI,okay
NONE,pI pa pI,okay
NONE,ki ke ka tI kI,okay
