N_Init,Strategy,Run,Candidate,Step,NumFeatsAtThisStep,NumFeatsToDate
0,train,0,('$ qE pE $'),0,18,18
0,train,0,('$ kI $'),1,3,21
0,train,0,('$ te $'),2,3,23
0,train,0,('$ qe ke $'),3,18,33
0,train,0,('$ pe te qa $'),4,33,54
0,train,0,('$ kI ta $'),5,12,61
0,train,0,('$ qE kE tI $'),6,45,91
0,train,0,('$ qe qe $'),7,18,91
0,train,0,('$ ka qI $'),8,12,98
0,train,0,('$ qa pE $'),9,12,100
0,train,0,('$ qE $'),10,3,100
0,train,0,('$ ti $'),11,3,100
0,train,0,('$ ki ta qI $'),12,30,116
0,train,0,('$ qI ta qE tI tE $'),13,74,147
0,train,0,('$ kE $'),14,3,147
0,train,0,('$ qI pa pi pi ti qa ka qE tE $'),15,130,214
0,train,0,('$ qi ke ke $'),16,45,217
0,train,0,('$ ki $'),17,3,217
0,train,0,('$ te qe $'),18,18,217
0,train,0,('$ tI $'),19,3,217
0,train,0,('$ pI tE ta kI $'),20,51,225
0,train,0,('$ kI qE $'),21,18,225
0,train,0,('$ ke ta qa $'),22,22,228
0,train,0,('$ qI $'),23,3,228
0,train,0,('$ kE pE qE $'),24,45,228
0,train,0,('$ qi ta pI qI $'),25,51,230
0,train,0,('$ ka qi $'),26,12,232
0,train,0,('$ tE ka $'),27,12,232
0,train,0,('$ pe ta tE kI $'),28,49,232
0,train,0,('$ tE pI $'),29,18,234
0,train,0,('$ qa ta ka qa tE $'),30,26,237
0,train,0,('$ ke qa qI $'),31,30,237
0,train,0,('$ tI kI $'),32,18,238
0,train,0,('$ qe $'),33,3,238
0,train,0,('$ pE pa $'),34,12,238
0,train,0,('$ pI kE $'),35,18,238
0,train,0,('$ qa ka $'),36,8,238
0,train,0,('$ ke ka ta ti $'),37,36,243
0,train,0,('$ tE qa ka $'),38,22,244
0,train,0,('$ qE kI $'),39,18,244
0,train,0,('$ qa qe ta ke ke $'),40,54,248
0,train,0,('$ pE pI kI $'),41,45,249
0,train,0,('$ pE $'),42,3,249
0,train,0,('$ ta pe $'),43,12,249
0,train,0,('$ te ke $'),44,18,249
0,train,0,('$ kE ka qe pa $'),45,41,249
0,train,0,('$ kI pE $'),46,18,249
0,train,0,('$ pi $'),47,3,249
0,train,0,('$ pi qi $'),48,18,252
