Feature,Candidate,Step,N_Init,Strategy,Run
+word_boundary :: +high :: +high,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
+word_boundary :: +high :: -low,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
+word_boundary :: +high :: +atr,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
+word_boundary :: -low :: +high,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
+word_boundary :: -low :: -low,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
+word_boundary :: -low :: +atr,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
+word_boundary :: -atr :: +high,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
+word_boundary :: -atr :: -low,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
+word_boundary :: -atr :: +atr,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
+high :: +high :: -high,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
+high :: +high :: -low,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
+high :: +high :: -atr,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
+high :: -low :: -high,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
+high :: -low :: -low,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
+high :: -low :: -atr,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
+high :: +atr :: -high,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
+high :: +atr :: -low,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
+high :: +atr :: -atr,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
-low :: +high :: -high,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
-low :: +high :: -low,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
-low :: +high :: -atr,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
-low :: -low :: -high,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
-low :: -low :: -low,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
-low :: -low :: -atr,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
-low :: +atr :: -high,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
-low :: +atr :: -low,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
-low :: +atr :: -atr,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
-atr :: +high :: -high,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
-atr :: +high :: -low,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
-atr :: +high :: -atr,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
-atr :: -low :: -high,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
-atr :: -low :: -low,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
-atr :: -low :: -atr,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
-atr :: +atr :: -high,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
-atr :: +atr :: -low,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
-atr :: +atr :: -atr,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
+high :: -high :: +high,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
+high :: -high :: -low,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
+high :: -high :: +atr,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
+high :: -low :: +high,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
+high :: -low :: -low,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
+high :: -low :: +atr,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
+high :: -atr :: +high,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
+high :: -atr :: -low,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
+high :: -atr :: +atr,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
-low :: -high :: +high,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
-low :: -high :: -low,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
-low :: -high :: +atr,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
-low :: -low :: +high,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
-low :: -low :: -low,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
-low :: -low :: +atr,('$', 'tI', 'ti', 'pE', 'ki', '$'),0,0,eig,0
