Step,Run,Strategy,N_INIT,Item,Cost,Source,TestType
0,0,unif,0,qi qa qE,9.898409934134202,LEARNER,NarrowTest
0,0,unif,0,qi qa qI,8.609290276161795,LEARNER,NarrowTest
0,0,unif,0,qe qa qE,8.560702924588053,LEARNER,NarrowTest
0,0,unif,0,qe qa qI,7.964730447175592,LEARNER,NarrowTest
0,0,unif,0,qE qa qi,7.320170618189389,LEARNER,NarrowTest
0,0,unif,0,qE qa qe,7.91614309560185,LEARNER,NarrowTest
0,0,unif,0,qI qa qi,7.964730447175592,LEARNER,NarrowTest
0,0,unif,0,qI qa qe,9.253850105147999,LEARNER,NarrowTest
0,0,unif,0,te kE tI,7.417345321336873,LEARNER,BroadTest
0,0,unif,0,tE tE te pe,8.110492501896818,LEARNER,BroadTest
0,0,unif,0,ke tE,5.885288905495757,LEARNER,BroadTest
0,0,unif,0,ke kE,5.885288905495757,LEARNER,BroadTest
0,0,unif,0,ke kI ka ka ki ti,13.89860670424509,LEARNER,BroadTest
0,0,unif,0,pI pe pi,6.8699601954981535,LEARNER,BroadTest
0,0,unif,0,kE ki,3.3070495895509437,LEARNER,BroadTest
0,0,unif,0,kI ke,7.174408563468163,LEARNER,BroadTest
0,0,unif,0,pa tI kI ka,14.105880369067615,LEARNER,BroadTest
0,0,unif,0,kE pe,5.240729076509553,LEARNER,BroadTest
0,0,unif,0,pI tI ke tI pi pa pI pE,17.765965678162306,LEARNER,BroadTest
0,0,unif,0,pI pe pI pI,12.269375585256489,LEARNER,BroadTest
0,0,unif,0,pE tI ta,9.995584637281686,LEARNER,BroadTest
0,0,unif,0,pa ki tI,7.417345321336873,LEARNER,BroadTest
0,0,unif,0,pi kI,5.240729076509553,LEARNER,BroadTest
0,0,unif,0,pE ki,3.3070495895509437,LEARNER,BroadTest
0,0,unif,0,kI pE kI tI kE,10.688731817841632,LEARNER,BroadTest
0,0,unif,0,pa pa tE,7.077233860320679,LEARNER,BroadTest
0,0,unif,0,te tI ka,8.061905150323076,LEARNER,BroadTest
0,0,unif,0,pe pI kE,8.803639682456764,LEARNER,BroadTest
0,0,unif,0,ki pi pE,8.755052330883021,LEARNER,BroadTest
0,0,unif,0,ki tI ti,7.417345321336873,LEARNER,BroadTest
0,0,unif,0,tE ki,3.3070495895509437,LEARNER,BroadTest
0,0,unif,0,pe tI pI,7.465932672910615,LEARNER,BroadTest
0,0,unif,0,ka pI ki ta kI pi,12.220788233682747,LEARNER,BroadTest
0,0,unif,0,kI pE pe kI,10.93166857571034,LEARNER,BroadTest
0,0,unif,0,tI te ta,11.23611694368035,LEARNER,BroadTest
0,0,unif,0,te ki te te te,5.532253185952005,LEARNER,BroadTest
0,0,unif,0,ta ta tE kI,9.351024808295483,LEARNER,BroadTest
0,0,unif,0,ke tI pi,6.869960195498154,LEARNER,BroadTest
0,0,unif,0,ka ki pI pI pi,10.287108746724138,LEARNER,BroadTest
0,0,unif,0,pE pe pi,4.83910600539206,LEARNER,BroadTest
0,0,unif,0,pi pE,7.174408563468163,LEARNER,BroadTest
0,0,unif,0,kI ki pa pa,14.057293017493873,LEARNER,BroadTest
0,0,unif,0,pE ti,3.3070495895509437,LEARNER,BroadTest
0,0,unif,0,ke tI,3.3070495895509437,LEARNER,BroadTest
0,0,unif,0,ta ke pa tE,9.898409934134202,LEARNER,BroadTest
0,0,unif,0,pI te,7.174408563468163,LEARNER,BroadTest
0,0,unif,0,kI ti ta tE kE pe,16.331083965468675,LEARNER,BroadTest
0,0,unif,0,pE pe,5.240729076509553,LEARNER,BroadTest
0,0,unif,0,ka pe pi,4.097371473258373,LEARNER,BroadTest
0,0,unif,0,pE tE pI pa,10.688731817841632,LEARNER,BroadTest
0,0,unif,0,te pI kE,8.803639682456764,LEARNER,BroadTest
0,0,unif,0,ta ta pE,7.077233860320679,LEARNER,BroadTest
0,0,unif,0,ki ke tE,8.70646497930928,LEARNER,BroadTest
0,0,unif,0,ke pE tI te,10.93166857571034,LEARNER,BroadTest
0,0,unif,0,ta pI ti ta,13.461320540081411,LEARNER,BroadTest
0,0,unif,0,ki te ki pe,5.483665834378263,LEARNER,BroadTest
0,0,unif,0,pI ti,5.885288905495757,LEARNER,BroadTest
0,0,unif,0,ti kE ke ti,8.997989088751732,LEARNER,BroadTest
0,0,unif,0,pa kE te ka,11.333291646827835,LEARNER,BroadTest
0,0,unif,0,pI pi ta,11.284704295254093,LEARNER,BroadTest
0,0,unif,0,kI pe,7.174408563468163,LEARNER,BroadTest
0,0,unif,0,tE pi pe,7.514520024484357,LEARNER,BroadTest
0,0,unif,0,te tI,3.3070495895509437,LEARNER,BroadTest
0,0,unif,0,pE pi,3.3070495895509437,LEARNER,BroadTest
0,0,unif,0,tE pi,3.3070495895509437,LEARNER,BroadTest
0,0,unif,0,pE tI ke,9.448199511442967,LEARNER,BroadTest
0,0,unif,0,kE pi ta kI,10.883081224136598,LEARNER,BroadTest
0,0,unif,0,pe kI,3.3070495895509437,LEARNER,BroadTest
0,0,unif,0,ti kI ta ki te,13.10828482053766,LEARNER,BroadTest
0,0,unif,0,kI te pi,6.8699601954981535,LEARNER,BroadTest
0,0,unif,0,pI ki,5.885288905495757,LEARNER,BroadTest
0,0,unif,0,ke pe pi te,5.532253185952005,LEARNER,BroadTest
0,0,unif,0,pi te tE kE tI,10.931668575710342,LEARNER,BroadTest
0,0,unif,0,ki tE pe,9.448199511442967,LEARNER,BroadTest
0,0,unif,0,pi kE,7.174408563468163,LEARNER,BroadTest
0,0,unif,0,ke tE ki,6.869960195498154,LEARNER,BroadTest
0,0,unif,0,ki ti pe te,6.8213728439244115,LEARNER,BroadTest
0,0,unif,0,pa ke pI ki tI pE,15.04196430749627,LEARNER,BroadTest
0,0,unif,0,tI te tE pE,12.075026178961522,LEARNER,BroadTest
0,0,unif,0,pI ta ti,7.964730447175592,LEARNER,BroadTest
0,0,unif,0,ki pE pI tE pI pi ki tI,12.366550288403975,LEARNER,BroadTest
0,0,unif,0,pa pe ki ka ta,10.8830812241366,LEARNER,BroadTest
0,0,unif,0,pa tE pa ta ke pa,11.929264124240296,LEARNER,BroadTest
0,0,unif,0,ke pE ta ke,10.141346692002912,LEARNER,BroadTest
0,0,unif,0,pa kE pE ki,9.496786863016709,LEARNER,BroadTest
0,0,unif,0,ka kE ti ta,12.123613530535263,LEARNER,BroadTest
0,0,unif,0,kE te tI,7.514520024484357,LEARNER,BroadTest
0,0,unif,0,pi pi pE,8.755052330883021,LEARNER,BroadTest
0,0,unif,0,tE tE pi ka,12.172200882109005,LEARNER,BroadTest
0,0,unif,0,pi pI,5.240729076509553,LEARNER,BroadTest
0,0,unif,0,pe pI tI,7.465932672910615,LEARNER,BroadTest
0,0,unif,0,pE te,5.240729076509553,LEARNER,BroadTest
0,0,unif,0,tI ki,5.885288905495757,LEARNER,BroadTest
0,0,unif,0,ka ti tI,7.417345321336873,LEARNER,BroadTest
0,0,unif,0,ta ka ta kI,7.174408563468163,LEARNER,BroadTest
0,0,unif,0,kI pi pI,8.70646497930928,LEARNER,BroadTest
0,0,unif,0,pe pa pe pE,10.09275934042917,LEARNER,BroadTest
0,0,unif,0,pa pE pa,9.108088050426772,LEARNER,BroadTest
0,0,unif,0,te pE,5.885288905495757,LEARNER,BroadTest
0,0,unif,0,ka kI pi,8.061905150323076,LEARNER,BroadTest
