NumFeatures,Word,LenWord
8,EY,1
678,AH B AE K,4
1498,AE B AH K AH S,6
2022,AH B AE N D AH N,7
776,AH B AE SH,4
880,AH B EY T,4
426,AE B IY,3
426,AE B EY,3
426,AE B IY,3
826,AE B AH T,4
2256,AH B R IY V IY EY T,8
3208,AH B R IY V IY EY SH AH N,10
1978,AE B D AH K EY T,7
2930,AE B D IH K EY SH AH N,9
1866,AE B D OW M AH N,7
1738,AE B D AH M AH N,7
2578,AE B D AA M AH N AH L,9
2632,AH B D AA M AH N AH L,9
1578,AE B D AH K T,6
2418,AE B D AH K SH AH N,8
2472,AH B D AH K SH AH N,8
880,AH B EH D,4
1890,AE B EH R AH N T,7
2290,AE B ER EY SH AH N,7
880,AH B EH T,4
1768,AH B EY AH N S,6
996,AE B HH AO R,5
2256,AH B HH AO R AH N S,8
2214,AE B HH AO R AH N T,8
672,AH B AY D,4
2240,AH B IH L AH T IY,7
1578,AE B JH EH K T,6
1232,AH B L EY Z,5
824,EY B AH L,4
1938,AE B N AO R M AH L,8
3233,AE B N AO R M AE L AH T IY,11
534,AA B OW,3
1284,AH B AO R D,5
984,AH B OW D,4
1728,AH B AA L IH SH,6
2626,AE B AH L IH SH AH N,8
4042,AE B AH L IH SH AH N AH S T,11
2832,AH B AA M AH N AH B AH L,10
3184,AH B AA M AH N EY SH AH N,10
3130,AE B ER IH JH AH N AH L,9
2738,AE B ER IH JH AH N IY,8
1284,AH B AO R T,5
2124,AH B AO R SH AH N,7
3540,AH B AO R SH AH N IH S T,10
2052,AH B AO R T IH V,7
980,AH B AW N D,5
672,AH B AW T,4
768,AH B AH V,4
3010,AE B R AH K AH D AE B R AH,11
2024,AH B R EY ZH AH N,7
1952,AH B R EY S IH V,7
1584,AH B R EH S T,6
1072,AH B R IH JH,5
1164,AH B R AO D,5
1702,AE B R AH G EY T,7
2654,AE B R AH G EY SH AH N,9
1344,AH B R AH P T,6
1338,AE B S EH S,5
1890,AE B S K AA N D,7
1714,AE B S AH N S,6
1714,AE B S AH N T,6
4002,AE B S AH N T IY IH Z AH M,11
2290,AE B S AH L UW T,7
3298,AE B S AH L UW SH AH N,9
1642,AH B Z AA L V,6
1588,AE B Z AA L V,6
1656,AH B Z AO R B,6
2748,AH B Z AO R B AH N T,9
2796,AH B Z AO R P SH AH N,9
2796,AH B S AO R P SH AH N,9
1832,AH B S T EY N,6
1778,AE B S T EY N,6
3176,AH B S T EH N CH AH N,9
3122,AE B S T EH N CH AH N,9
3066,AE B S T AH N AH N S,9
2118,AE B S T R AE K T,8
2118,AE B S T R AE K T,8
3030,AE B S T R AE K T IH D,10
2958,AE B S T R AE K SH AH N,10
2136,AH B S T R UW S,7
1392,AH B S ER D,5
2928,AH B S ER D AH T IY,8
2616,AH B AH N D AH N S,8
2616,AH B AH N D AH N T,8
1164,AH B Y UW S,5
1164,AH B Y UW Z,5
2100,AH B Y UW S IH V,7
1792,AH B IH Z M AH L,7
880,AH B IH S,4
1392,AH K EY SH AH,5
2202,AE K AH D EH M IH K,8
3250,AE K AH D AH M IH SH AH N,10
1848,AH K AE D AH M IY,7
1338,AE K S IY D,5
2682,AE K S EH L ER EY T,8
3634,AE K S EH L ER EY SH AH N,10
3194,AE K S EH L ER EY T ER,9
1768,AH K S EH N T,6
1714,AE K S EH N T,6
3378,AE K S EH N CH UW EY T,9
1578,AE K S EH P T,6
1632,AH K S EH P T,6
4544,AH K S EH P T AH B IH L AH T IY,13
3074,AE K S EH P T AH B AH L,10
3128,AH K S EH P T AH B AH L,10
2866,AE K S EH P T AH N S,9
2920,AH K S EH P T AH N S,9
1338,AE K S EH S,5
4362,AE K S EH S AH B IH L IH T IY,12
2946,AE K S EH S AH B AH L,9
2344,AH K S EH SH AH N,7
2362,AE K S EH S ER IY,7
2738,AE K S AH D AH N T,8
3634,AE K S AH D EH N T AH L,10
1040,AH K L EY M,5
2608,AE K L AH M EY SH AH N,9
1674,AE K AH L EY D,6
2400,AH K AA M AH D EY T,8
3352,AH K AA M AH D EY SH AH N,10
2960,AH K AH M P AH N AH S T,10
1992,AH K AH M P AH N IY,8
1970,AH K AA M P L AH S,8
1970,AH K AA M P L IH SH,8
1284,AH K AO R D,5
2572,AH K AO R D AH N S,8
2636,AH K AO R D IY AH N,8
1552,AH K AO S T,5
980,AH K AW N T,5
2532,AH K AW N T AH B AH L,9
2780,AH K AW N T AH N S IY,9
2324,AH K AW N T AH N T,8
3120,AH K R EH D IH T IH D,9
2024,AH K R IY SH AH N,7
714,AH K R UW,4
2736,AH K Y UW M Y AH L EY T,10
3688,AH K Y UW M Y AH L EY SH AH N,12
3616,AH K Y UW M Y AH L EY T IH V,12
3248,AH K Y UW M Y AH L EY T ER,11
2054,AE K Y ER AH S IY,7
1542,AE K Y ER AH T,6
3006,AE K Y AH Z EY SH AH N,9
3154,AE K Y UW Z EY SH AH N,9
3124,AH K Y UW Z AH T IH V,9
1164,AH K Y UW Z,5
2200,AH K AH S T AH M,7
128,EY S,2
2104,AE S AH T EY T,6
2032,AH S EH T IH K,6
2032,AH S IY T IH K,6
2944,AH S EH T AH L IY N,8
96,EY K,2
2408,AH CH IY V AH B AH L,8
1008,AH CH IY V,4
1728,AH K IH L IY Z,6
1080,AE S AH D,4
2032,AH S IH D IH K,6
2308,AH S IH D AH F AY,7
2688,AH S IH D AH T IY,7
2024,AE K N AA L IH JH,7
2072,IH K N AA L IH JH,7
532,AE K M IY,4
728,AE K N IY,4
1434,AE K AH L AY T,6
1224,EY K AO R N,5
2432,AH K UW S T IH K,7
2960,AH K W EY N T AH N S,9
1696,AE K W IY EH S,6
3096,AE K W IY EH S AH N S,9
1020,AH K W AY ER,5
3160,AE K W AH Z IH SH AH N,9
3136,AH K W IH Z AH T IH V,9
1232,AH K W IH T,5
2184,AH K W IH T AH L,7
480,EY K ER,3
1392,EY K ER IH JH,5
1072,EY K R AH JH,5
1030,AE K R IH D,5
3025,AE K R AH M OW N IY AH S,10
2057,AE K R IH M OW N IY,8
1598,AE K R AH B AE T,7
2422,AE K R AH B AE T IH K,9
1686,AE K R AH N IH M,7
2592,AH K R AA P AH L AH S,9
1164,AH K R AO S,5
1792,AH K R IH L IH K,7
426,AE K T,3
1266,AE K SH AH N,5
2770,AE K SH AH N AH B AH L,9
1978,AE K T AH V EY T,7
2930,AE K T AH V EY SH AH N,9
1194,AE K T IH V,5
2490,AE K T AH V AH S T,8
2490,AE K T IH V IH S T,8
2490,AE K T IH V AH T IY,8
2490,AE K T IH V IH T IY,8
826,AE K T ER,4
1498,AE K T R AH S,6
1266,AE K SH AH L,5
2330,AE K CH UW W EY T,7
2244,AH K Y UW AH T IY,7
1626,AH K Y UW M AH N,7
2542,AE K Y UW P AH NG K CH ER,10
1164,AH K Y UW T,5
112,AE D,2
1080,AE D AH JH,4
1080,AE D IH JH,4
864,AE D AH M,4
1928,AE D AH M AH N T,7
1232,AH D AE P T,5
4144,AH D AE P T AH B IH L AH T IY,12
2728,AH D AE P T AH B AH L,9
3184,AE D AH P T EY SH AH N,9
112,AE D,2
1960,AH D EH D AH M,6
568,AE D ER,3
1392,AH D IH K T,5
1320,AE D IH K T,5
2232,AH D IH K SH AH N,7
2160,AH D IH K T IH V,7
2104,AH D IH SH AH N,6
2944,AH D IH SH AH N AH L,8
1960,AE D AH T IH V,6
1960,AE D IH T IH V,6
1008,AE D AH L,4
1224,AE D R EH S,5
1280,AH D R EH S,5
1392,AH D EH P T,5
2584,AE D AH K W AH S IY,8
2072,AE D AH K W AH T,7
2072,AE D AH K W EY T,7
1168,AH D HH IH R,5
2344,AH D HH IH R AH N S,8
2344,AH D HH IH R AH N T,8
2176,AE D HH IY ZH AH N,7
2104,AE D HH IY S IH V,7
2160,AH D HH IY S IH V,7
712,AH D UW,3
1824,AE D AH P OW S,6
2552,AH JH EY S AH N T,7
2088,AE JH IH K T IH V,7
953,AH JH OY N,4
1080,AH JH ER N,4
1152,AH JH AH JH,4
3008,AH JH UW D IH K EY T,8
3960,AH JH UW D AH K EY SH AH N,10
1352,AE JH AH NG K T,6
1664,AH JH AH S T,5
3272,AH JH AH S T AH B AH L,9
2176,AH JH AH S T ER,6
2480,AE JH AH T AH N T,7
2968,AH D M IH N AH S T ER,9
4512,AE D M IH N IH S T R EY SH AH N,13
4488,AH D M IH N AH S T R EY T IH V,13
4120,AH D M IH N AH S T R EY T ER,12
2136,AE D M ER AH B AH L,8
1480,AE D M ER AH L,6
2384,AE D M ER AH L T IY,8
2504,AE D M ER EY SH AH N,8
792,AE D M AY R,5
2696,AH D M IH S AH B AH L,9
1992,AE D M IH SH AH N,7
2040,AH D M IH SH AH N,7
1088,AH D M IH T,5
2488,AH D M IH T AH N S,8
2112,AH D M IH T AH D,7
1896,AE D M AA N IH SH,7
2848,AE D M AH N IH SH AH N,9
712,AH D UW,3
1552,AH D OW B IY,5
3312,AE D AH L EH S AH N S,9
3480,AE D OW L EH S AH N S,9
3312,AE D AH L EH S AH N T,9
3480,AE D OW L EH S AH N T,9
1392,AH D AA P T,5
2232,AH D AA P SH AH N,7
2160,AH D AA P T IH V,7
2568,AH D AO R AH B AH L,8
2544,AE D ER EY SH AH N,7
1126,AH D AO R,4
1492,AH D AO R N,5
2064,AH D R IY N AH L,7
2904,AH D R EH N AH L IH N,9
1552,AH D R IH F T,6
1176,AH D R OY T,5
2864,AE JH AH L EY SH AH N,8
1528,AH D AH L T,5
1456,AE D AH L T,5
3008,AH D AH L T ER EY T,8
3960,AH D AH L T ER EY SH AH N,10
2496,AH D AH L T ER ER,7
3008,AH D AH L T ER AH S,8
2496,AH D AH L T ER IY,7
1526,AH D V AE N S,6
2438,AE D V AE N T IH JH,8
2494,AH D V AE N T IH JH,8
3608,AE D V AH N T EY JH AH S,10
1616,AE D V EH N T,6
3096,AE D V EH N T IH S T,9
2072,AE D V EH N CH ER,7
2128,AH D V EH N CH ER,7
3096,AE D V EH N CH ER AH S,9
3152,AH D V EH N CH ER AH S,9
1112,AE D V ER B,5
2336,AE D V ER B IY AH L,8
2488,AE D V ER S EH R IY,8
1224,AE D V ER S,5
1224,AE D V ER S,5
1280,AH D V ER S,5
2760,AE D V ER S IH T IY,8
2816,AH D V ER S IH T IY,8
1976,AE D V ER T AY Z,7
1016,AE D V AY S,5
1072,AH D V AY S,5
3928,AE D V AY Z AH B IH L IH T IY,12
1016,AE D V AY Z,5
1072,AH D V AY Z,5
1928,AE D V AY Z ER IY,7
1984,AH D V AY Z ER IY,7
2408,AE D V AH K AH S IY,8
1896,AE D V AH K AH T,7
1896,AE D V AH K EY T,7
1152,IY JH AH S,4
1320,EH R IY AH L,5
2272,EH R AH B AE T IH K,8
1947,EH R AH D R OW M,7
2787,EH R OW D AY N AE M IH K,10
1832,EH R AH S AA L,6
2176,EH R OW S P EY S,7
1664,EH S TH IY T,5
2544,EH S TH EH T IH K,7
768,AH F AA R,4
1442,AE F AH B AH L,6
768,AH F EH R,4
1152,AH F EH K T,5
2962,AE F EH K T EY SH AH N,9
2064,AH F EH K T AH D,7
2064,AH F EH K T IH D,7
1992,AH F EH K SH AH N,7
2896,AH F EH K SH AH N AH T,9
2896,AH F EH K SH AH N IH T,9
2490,AE F AH D EY V AH T,8
2240,AH F IH L IY EY T,7
2240,AH F IH L IY AH T,7
3192,AH F IH L IY EY SH AH N,9
2240,AH F IH N AH T IY,7
2240,AH F IH N IH T IY,7
712,AH F ER M,4
2274,AE F ER M EY SH AH N,8
2256,AH F ER M AH T IH V,8
1098,AE F IH K S,5
1152,AH F IH K S,5
1488,AH F L IH K T,6
2328,AH F L IH K SH AH N,8
2226,AE F L UW AH N S,7
2226,AE F L UW AH N T,7
1284,AH F AO R D,5
1464,AH F R AH N T,6
889,AE F G AE N,5
1422,AE F G AA N IY,6
3081,AE F G AE N AH S T AE N,10
1272,AH F IY L D,5
588,AH F AY R,4
1040,AH F L EY M,5
1338,AH F L OW T,5
984,AH F UH T,4
2196,AH F AO R S EH D,7
2196,AH F AO R TH AA T,7
630,AH F AW L,4
1072,AH F R EY D,5
1072,AH F R EH SH,5
1302,AE F R AH K AH,6
1302,AE F R IH K AH,6
1098,AE F ER K AH,5
1646,AE F R AH K AH N,7
1646,AE F R IH K AH N,7
2094,AE F R AH K AA N Z,8
2094,AE F R AH K AA N ER,8
672,AE F R OW,4
426,AE F T,3
826,AE F T ER,4
824,AH G EH N,4
824,AH G EY N,4
1728,AH G EH N S T,6
1728,AH G EY N S T,6
768,AH G EY P,4
480,EY G ER,3
826,AE G AH T,4
128,EY JH,2
1152,EY JH IH D,4
1984,EY JH AH N S IY,6
1984,AH JH EH N D AH,6
1528,EY JH AH N T,5
3168,AH G L AA M ER EY SH AH N,10
2042,AH G R AE N D AY Z,8
1702,AE G R AH V EY T,7
2654,AE G R AH V EY SH AH N,9
1702,AE G R AH G AH T,7
1702,AE G R AH G IH T,7
1702,AE G R AH G EY T,7
2024,AH G R EH SH AH N,7
1952,AH G R EH S IH V,7
1584,AH G R EH S ER,6
960,AH G R IY V,5
1232,AH G AE S T,5
1008,AE JH AH L,4
2496,AH JH IH L AH T IY,7
1080,AA JH IY N,4
2104,AE JH AH T EY T,6
3128,AE JH AH T EY T AH D,8
3056,AE JH AH T EY SH AH N,8
2616,AE JH AH T EY T ER,7
825,AH G L OW,4
2576,AE G N AA S T IH K,8
